Name,IP Address,Device Type,Floor,Status,Serial Number,Source
1st Floor AP4(Bunker),192.168.31.175,accessPoints,1st Floor,up,,Uptime Kuma
Israel -1st Floor Bunker,192.168.33.33,printers,1st Floor,up,CNB9X8Y7Z6-NEW,Uptime Kuma
Gym,192.168.30.76,accessPoints,1st Floor,up,,Uptime Kuma
5th-floor bunker,192.168.30.87,accessPoints,5th Floor,up,,Uptime Kuma
5th-floor Kantina,192.168.30.82,accessPoints,5th Floor,up,,Uptime Kuma
1st Floor AP1(Gaming Room),192.168.30.78,accessPoints,1st Floor,up,,Uptime Kuma
1st Floor AP2(Above Wembley Room),192.168.30.73,accessPoints,1st Floor,up,,Uptime Kuma
1st Floor AP3(Above Security),192.168.30.75,accessPoints,1st Floor,up,,Uptime Kuma
1st Floor AP5(Data 1),192.168.30.74,accessPoints,1st Floor,up,,Uptime Kuma
1st Floor Balcony,192.168.30.71,accessPoints,1st Floor,up,,Uptime Kuma
2nd Floor AP(Above P&C),192.168.30.77,accessPoints,2nd Floor,up,,Uptime Kuma
2nd Floor AP(Bunker),192.168.31.44,accessPoints,2nd Floor,up,,Uptime Kuma
2nd Floor AP1(CX Supply),192.168.31.95,accessPoints,2nd Floor,up,,Uptime Kuma
2nd Floor AP3 - MIS,192.168.31.96,accessPoints,2nd Floor,up,,Uptime Kuma
2nd Floor AP4(Asaf Porat),192.168.31.185,accessPoints,2nd Floor,up,,Uptime Kuma
3rd Floor AP1(Gamers),192.168.31.78,accessPoints,3rd Floor,up,,Uptime Kuma
3rd Floor AP2(Nemo),192.168.30.179,accessPoints,3rd Floor,up,,Uptime Kuma
3rd Floor AP4(Finance),192.168.31.3,accessPoints,3rd Floor,up,,Uptime Kuma
3rd Floor AP5(Above Hadas),192.168.31.111,accessPoints,3rd Floor,up,,Uptime Kuma
3rd Floor South,192.168.30.141,accessPoints,3rd Floor,up,,Uptime Kuma
5th Floor North Side,192.168.30.244,accessPoints,5th Floor,up,,Uptime Kuma
5th Floor South Site,192.168.31.105,accessPoints,5th Floor,up,,Uptime Kuma
5th Floor West Side,192.168.30.173,accessPoints,5th Floor,up,,Uptime Kuma
Israel - 2nd Floor Bunker,192.168.33.30,printers,2nd Floor,up,,Uptime Kuma
Israel - 1st Floor Kitchen,192.168.33.38,printers,1st Floor,up,W2W7112856,Uptime Kuma
Israel - 3rd Floor Storage,192.168.33.66,printers,3rd Floor,up,,Uptime Kuma
Israel - 2nd Floor Storage,192.168.33.35,printers,2nd Floor,up,,Uptime Kuma
Israel - 5th Floor Storage,192.168.33.40,printers,5th Floor,up,,Uptime Kuma
P&C1,192.168.26.42,polyLens,2nd Floor,up,,Uptime Kuma
P&C2,192.168.24.196,polyLens,2nd Floor,up,,Uptime Kuma
CIO,192.168.24.111,polyLens,1st Floor,up,,Uptime Kuma
Achla,192.168.26.90,polyLens,5th Floor,up,,Uptime Kuma
Tachles,192.168.24.174,polyLens,5th Floor,up,,Uptime Kuma
Sales Supply,192.168.24.79,polyLens,1st Floor,up,,Uptime Kuma
MIS,192.168.24.97,polyLens,2nd Floor,up,,Uptime Kuma
IL BIZ,192.168.24.78,polyLens,1st Floor,up,,Uptime Kuma
Global Supply,192.168.24.199,polyLens,2nd Floor,up,,Uptime Kuma
Sababa,192.168.24.130,polyLens,5th Floor,up,,Uptime Kuma
